Season,Team,Level,Age,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,WAR
2020,DET,MLB,23,1,4,0,8,7,32,10.41,3.09,2.53,0.253,70.40%,27.70%,20.00%,94.5,5.63,4.49,5.75,4.81,-0.1
2021,DET,MLB,24,8,12,0,31,29,149.1,9.88,2.83,2.11,0.277,81.40%,38.50%,20.50%,94.5,4.34,5.58,5.09,4.06,0.6
2022,DET,MLB,25,7,8,0,21,21,117.2,8.95,2.45,0.69,0.299,67.50%,45.70%,7.90%,94.2,3.52,3.33,2.96,3.4,2.9
2023,DET,MLB,26,7,3,0,15,15,80.1,11.43,1.57,0.45,0.289,67.70%,51.60%,6.80%,95.8,2.8,2.31,2,2.56,3.3
2024,DET,MLB,27,18,4,0,31,31,192,10.69,1.64,0.7,0.273,80.00%,45.70%,8.80%,97,2.39,2.72,2.49,2.83,6
2025,DET,MLB,28,13,6,0,31,31,195.1,11.1,1.52,0.83,0.273,80.60%,41.00%,10.10%,97.7,2.21,2.72,2.45,2.66,6.6
Total,,MLB,,54,37,0,137,134,766.2,10.44,2.02,1.06,0.279,76.50%,42.80%,12.20%,95.8,3.08,3.32,3.14,3.17,19.3
