Season,Team,Level,Age,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,WAR
2024,PIT,MLB,22,11,3,0,23,23,133,11.5,2.17,0.68,0.284,85.60%,51.30%,10.60%,98.9,1.96,2.52,2.44,2.54,4.3
2025,PIT,MLB,23,10,10,0,32,32,187.2,10.36,2.01,0.53,0.273,82.40%,44.30%,6.30%,98.2,1.97,2.63,2.36,3.03,6.5
Total,,MLB,,21,13,0,55,55,320.2,10.83,2.08,0.59,0.277,83.70%,47.10%,7.80%,98.5,1.96,2.58,2.4,2.83,10.8
